	L176_Col	L176_TSB	L176_FC	DEG	OG	KO.id	KO.description
cds0	12.4077852621432	6.50436533784052	6.54770509359078	up	NA	NA	NA
cds1	6.66593588643695	4.76702715023265	2.44192683184555	up	OG0002072		
cds10	5.81942937645028	5.07487552010384	1.25312215116712	up	OG0000017	K03762	proP; MFS transporter, MHS family, proline/betaine transporter
cds100	3.83552062855875	2.10626694871322	2.10433649616366	nonDEG	OG0005461		
cds1000	4.50504129972656	5.21345889251846	-0.0468395731814672	nonDEG	OG0004415	K07063	uncharacterized protein
cds1001	5.97265732981687	6.8082858834814	-0.272128189409679	nonDEG	OG0004684	K03307	TC.SSS; solute:Na+ symporter, SSS family
cds1002	8.69372806942279	8.49018216719482	0.735887054895719	nonDEG	OG0004155		
cds1003	8.49323946060617	8.01474266354541	0.971281305641839	nonDEG			
cds1004	5.86733105363148	7.75281152609162	-1.36221253652876	down			
cds1005	8.89244186742572	6.88430565805769	2.4008220258667	up			
cds1006	6.42659002930384	4.87457417190711	2.1531560140648	up	OG0000039	K03088	rpoE; RNA polymerase sigma-70 factor, ECF subfamily
cds1007	5.83224583105623	4.85173791259701	1.53786445512755	up	OG0000043	K07165	fecR; transmembrane sensor
cds1008	7.00261109378083	5.53088975915784	1.97136142505418	up	OG0000068	K21573	susC; TonB-dependent starch-binding outer membrane protein SusC
cds1009	5.74728268085599	5.44138741128747	0.832972267316963	nonDEG	OG0001917	K21572	susD; starch-binding outer membrane protein, SusD/RagB family
cds101	4.56305109965158	4.76661096816689	0.275866554202065	nonDEG	OG0005462		
cds1010	5.31289096610468	4.96792111562027	0.791345112692591	nonDEG	OG0005502		
cds1011	4.60180212248353	3.319681927454	1.60833798932763	nonDEG	OG0001700	K07300	chaA; Ca2+:H+ antiporter
cds1013	4.26987698443744	3.76024426843538	0.975515534489983	nonDEG	OG0000127	K00020	mmsB; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]
cds1014	5.95507684245955	4.51817198030052	1.58879059798741	nonDEG	OG0000885		
cds1015	5.87666800801072	3.94087552804514	2.4607510758715	up			
cds1016	4.07657389343915	6.28676694776703	-1.54787902770718	down	OG0000780		
cds1017	6.59115669517404	7.73799716685775	-0.59045519278431	nonDEG	OG0000250	K03832	tonB; periplasmic protein TonB
cds1018	4.68428130607779	5.79096545556347	-0.484287044416754	nonDEG	OG0000781		
cds1019	4.32054468225245	2.93688464748978	1.88225447693804	up			
cds102	8.95793030359973	7.01438577185742	2.39729752379729	up	OG0006944		
cds1020	5.49787427665625	5.75619399017208	0.190774594321807	nonDEG	OG0002313	K06223	dam; DNA adenine methylase [EC:2.1.1.72]
cds1021	5.98657817128063	4.60617406193422	2.00129391733602	up			
cds1022	7.20327061416073	6.45202030041418	1.38164364372547	up	OG0001669	K02004	ABC.CD.P; putative ABC transport system permease protein
cds1023	7.72039930473474	6.45934303528039	1.85907389839495	up	OG0000000	K02003	ABC.CD.A; putative ABC transport system ATP-binding protein
cds1024	5.82411539011278	4.09666170618144	1.98593482600233	up	OG0001185	K10804	tesA; acyl-CoA thioesterase I [EC:3.1.2.- 3.1.1.5]
cds1025	4.08984089612514	3.82200192369396	0.69512172285654	nonDEG	OG0002100		
cds1027	8.38288639149856	8.19597831548227	0.68816525349026	nonDEG	OG0000053	K13587	cckA; two-component system, cell cycle sensor histidine kinase and response regulator CckA [EC:2.7.13.3]
cds1028	5.53048359442093	5.29059002456165	0.704421769285317	nonDEG	OG0000349	K03299	TC.GNTP; gluconate:H+ symporter, GntP family
cds1029	6.69004733221095	6.72034075549912	0.460508635234488	nonDEG	OG0000119	K00864	glpK; glycerol kinase [EC:2.7.1.30]
cds1030	5.68983269335581	4.62403671519691	1.51351384364777	up	OG0000781		
cds1031	5.97007010162793	4.74679795872327	1.73039242623944	up	OG0000010	K07636	phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]
cds1032	3.2945438449187	2.92970692697323	1.25699578274571	nonDEG	OG0000003	K07657	phoB; two-component system, OmpR family, phosphate regulon response regulator PhoB
cds1033	10.2679816657201	3.18039775582537	7.61189313255053	up	OG0006979		
cds1036	2.59353735672127	2.06442332135193	-0.0810580152434058	nonDEG	OG0001908	K12984	waaE; (heptosyl)LPS beta-1,4-glucosyltransferase [EC:2.4.1.-]
cds1037	2.48738925543927	2.90370608963947	1.29931093544778	nonDEG	OG0000014	K14335	pimC; alpha-1,6-mannosyltransferase [EC:2.4.1.-]
cds1038	3.2837366856879	2.89015876147369	0.904617901435797	nonDEG			
cds1039	2.98822270228233	3.55559707920441	0.716183409147818	nonDEG	OG0000014	K14335	pimC; alpha-1,6-mannosyltransferase [EC:2.4.1.-]
cds104	10.5379113683798	9.5267104210361	1.51815614679484	up	OG0002830	K07576	metallo-beta-lactamase family protein
cds1040	3.15405592210594	3.23894397337094	0.552777286322812	nonDEG	OG0005504		
cds1041	4.50218729522542	3.54690964700901	1.42021627618802	nonDEG			
cds1042	4.14539085259495	2.55682542814036	2.43461360641057	up			
cds1044	4.59469862040172	4.38994469582371	0.680149709906401	nonDEG			
cds1045	3.88601860708185	2.7108606791189	1.23622304161494	nonDEG	OG0005275		
cds1047	3.9738664616517	4.00641352142692	0.339935959557816	nonDEG			
cds1048	2.72344006295425	2.34434878793526	0.675617748006945	nonDEG			
cds1049	3.01187820940038	3.12589817839774	0.359283977336118	nonDEG	OG0003158	K21285	tagB; teichoic acid glycerol-phosphate primase [EC:2.7.8.44]
cds105	4.91054281377034	5.841518640139	-0.443074553303729	nonDEG	OG0000760	K00147	proA; glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]
cds1050	3.23790217777126	2.86755363339783	0.808824933624418	nonDEG	OG0000474	K09691	ABC-2.LPSE.A; lipopolysaccharide transport system ATP-binding protein
cds1052	2.81001706035932	1.84706442249204	0.575020719100439	nonDEG	OG0000665	K09690	ABC-2.LPSE.P; lipopolysaccharide transport system permease protein
cds1053	3.23306898787289	2.80736288485056	1.06448634981484	nonDEG	OG0000014	K14335	pimC; alpha-1,6-mannosyltransferase [EC:2.4.1.-]
cds1054	7.43723129267817	5.774403842898	2.1449430648508	up	OG0000629	K01953	asnB; asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]
cds1055	3.91054281377034	4.11992514831899	0.378528245046551	nonDEG	OG0002274	K05785	rfaH; transcriptional antiterminator RfaH
cds1056	5.06876026562903	3.78284939651124	1.7809234787717	up	OG0000251	K16692	etk-wzc; tyrosine-protein kinase Etk/Wzc [EC:2.7.10.-]
cds1057	5.95088128075747	2.79853881439683	3.22579230707295	up	OG0000327	K01991	wza; polysaccharide biosynthesis/export protein
cds1058	2.91172875357474	0.10626694871322	3.86788306867553	up			
cds106	8.28656744825524	8.22148755164634	0.571652316434264	nonDEG	OG0000982	K00931	proB; glutamate 5-kinase [EC:2.7.2.11]
cds1061	7.87874196602572	8.78351560043337	-0.407895754865028	nonDEG	OG0000292	K00134	GAPDH; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
cds1062	6.00848494943958	5.88258540264033	0.63497415055076	nonDEG	OG0000195	K02348	elaA; ElaA protein
cds1063	7.55608879343787	10.7714816033563	-2.60845930028422	down	OG0000826	K00927	PGK; phosphoglycerate kinase [EC:2.7.2.3]
cds1064	4.13804875048495	2.99707539603705	1.55434579845944	nonDEG			
cds1065	3.33549609418054	5.00990495846572	-1.05650162075239	nonDEG	OG0001271		
cds1067	5.93519715069408	4.49470887100339	1.8781069836457	up	OG0002157	K06147	ABCB-BAC; ATP-binding cassette, subfamily B, bacterial
cds1068	5.08335677523641	2.50941807058954	2.4853635895077	up	OG0001606		
cds1069	4.0380814876325	6.66887471939591	-1.7847041818432	down	OG0001429	K03925	mraZ; MraZ protein
cds107	7.70920292523981	8.48347588580518	-0.291156356108082	nonDEG	OG0000731	K01354	ptrB; oligopeptidase B [EC:3.4.21.83]
cds1070	6.91939933010604	8.05081701217685	-0.646399899785475	nonDEG	OG0001056	K03438	mraW; 16S rRNA (cytosine1402-N4)-methyltransferase [EC:2.1.1.199]
cds1071	6.49832125968773	6.22813426181113	0.783354181197643	nonDEG	OG0005505		
cds1072	8.32579673317367	8.3622563071673	0.473498893508384	nonDEG	OG0000604	K03587	ftsI; cell division protein FtsI (penicillin-binding protein 3) [EC:3.4.16.4]
cds1073	9.1777559674577	8.98054867766041	0.696006240964536	nonDEG	OG0000662	K01928	murE; UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [EC:6.3.2.13]
cds1074	7.19713460658973	7.77303530370209	-0.061640849476506	nonDEG	OG0000740	K01000	mraY; phospho-N-acetylmuramoyl-pentapeptide-transferase [EC:2.7.8.13]
cds1075	8.47543235825802	8.93918985719298	0.0700997085622988	nonDEG	OG0000906	K01925	murD; UDP-N-acetylmuramoylalanine--D-glutamate ligase [EC:6.3.2.9]
cds1076	5.95554170315013	6.74272675838766	-0.207799925629297	nonDEG	OG0000178	K03588	ftsW; cell division protein FtsW
cds1077	6.25488116617967	8.20900120684104	-1.41242725853305	down	OG0000907	K02563	murG; UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase [EC:2.4.1.227]
cds1078	7.78813777421009	9.28366607065852	-0.957299966597012	nonDEG	OG0000908	K01924	murC; UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8]
cds1079	6.3139826767823	6.88217630151233	-0.0289533086564653	nonDEG	OG0005506	K03589	ftsQ; cell division protein FtsQ
cds108	7.29236820922231	7.09708073756773	0.73009702054375	nonDEG	OG0006945		
cds1080	5.330021204191	9.3521098865086	-3.31667397166629	down	OG0001194	K03590	ftsA; cell division protein FtsA
cds1081	9.73469063513816	11.2885755768187	-1.01017462609695	down	OG0000741	K03531	ftsZ; cell division protein FtsZ
cds1082	7.4426457593496	9.198976048019	-1.23774442804365	down	OG0000261	K00652	bioF; 8-amino-7-oxononanoate synthase [EC:2.3.1.47]
cds1083	7.37507361049012	6.2546914672601	1.55052879650972	up	OG0003711		
cds1084	7.15261553354774	4.56828098116398	3.14081394723053	up			
cds1085	7.33972897506051	8.67785754433159	-0.80827257311125	nonDEG	OG0000164	K01714	dapA; 4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]
cds1086	4.95637732168699	7.75999946470786	-2.18291428957547	down	NA	NA	NA
