	L177_Col	L177_TSB	L177_FC	DEG	OG	KO.id	KO.description
cds1	4.87953505041759	4.42992339664136	1.05018271142614	nonDEG	OG0003651		
cds10	5.2459639780287	7.07198404138046	-1.10994514971162	nonDEG	OG0000544	K00097	pdxA; 4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]
cds100	4.79162458105903	5.7847340208397	-0.33479780346679	nonDEG	OG0001420	K01070	frmB; S-formylglutathione hydrolase [EC:3.1.2.12]
cds1000	3.4695879516194	2.74713572278756	0.372247065824702	nonDEG	OG0000084	K10440	rbsC; ribose transport system permease protein
cds1001	5.78445023031357	5.82792310878175	0.655614620013639	nonDEG	OG0000232	K19337	hexR; RpiR family transcriptional regulator, carbohydrate utilization regulator
cds1002	5.34056163336223	7.44264138886861	-0.820490205158269	nonDEG	OG0000518	K06998	phzF; trans-2,3-dihydro-3-hydroxyanthranilate isomerase [EC:5.3.3.17]
cds1003	4.25562366701929	3.49413842262216	1.44302742709676	nonDEG	OG0000001	K00059	fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
cds1004	5.92232828186881	3.52977682392767	2.95676138318738	up	OG0004185	K00005	gldA; glycerol dehydrogenase [EC:1.1.1.6]
cds1005	6.81654207753206	3.31730018372257	3.9472193122861	up	OG0000100	K19270	yfbT; sugar-phosphatase [EC:3.1.3.23]
cds1006	6.38639614127888	4.45564601681552	2.64148481056473	up	OG0000119	K00864	glpK; glycerol kinase [EC:2.7.1.30]
cds1007	7.8459200326939	4.21744675643627	4.17276040822258	up	OG0000115	K10439	rbsB; ribose transport system substrate-binding protein
cds1008	6.63399044819938	2.12231268348218	4.70589556175509	up	OG0000084	K10440	rbsC; ribose transport system permease protein
cds1009	8.65505883671011	2.76676041596586	8.19207592912092	up	OG0000045	K10441	rbsA; ribose transport system ATP-binding protein [EC:3.6.3.17]
cds101	3.97167629883048	3.68912592286255	-1.10384545124492	nonDEG	OG0000428	K09816	znuB; zinc transport system permease protein
cds1010	6.74540491891173	2.19086519123233	5.92715090309074	up	OG0000052	K05799	pdhR; GntR family transcriptional regulator, transcriptional repressor for pyruvate dehydrogenase complex
cds1011	5.13476697389106	8.86766213752816	-3.05074050938142	down	OG0001758	K02014	TC.FEV.OM; iron complex outermembrane recepter protein
cds1012	3.18230177237199	2.6506335170559	1.20508690795156	nonDEG	OG0001823		
cds1015	6.88443553400039	7.56902210804905	-0.0467291933478682	nonDEG			
cds1016	7.58449626304571	8.52395266336311	-0.313736765533402	nonDEG	OG0000365	K03862	vanA; vanillate monooxygenase [EC:1.14.13.82]
cds1017	5.33247911794667	5.56557812955575	0.409507375453879	nonDEG	OG0005379		
cds1018	5.53554913360262	5.39888692851087	0.715889221356772	nonDEG	OG0000239	K06867	uncharacterized protein
cds1019	6.24805030818593	5.79604979814748	1.053199094957	nonDEG			
cds102	5.02765273911873	6.44295666987101	-0.788331112256249	nonDEG	OG0001666	K09817	znuC; zinc transport system ATP-binding protein [EC:3.6.3.-]
cds1020	3.11264860603557	2.72476432416805	0.181153343927106	nonDEG	OG0002623		
cds1021	4.49725458764117	4.81458454916579	0.429951287623594	nonDEG	OG0000034	K01692	paaF; enoyl-CoA hydratase [EC:4.2.1.17]
cds1022	6.82856308283794	4.46433344901092	2.73173521210939	up	OG0000141	K00382	DLD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]
cds1023	3.96994298496664	2.89628871511131	2.47434893976546	nonDEG	OG0000008	K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]
cds1024	3.61725329954813	2.09257006760092	2.69945149062011	nonDEG	OG0005666		
cds1026	3.94598469970645	2.56295538177797	1.89084209534263	nonDEG	OG0000291	K00108	betA; choline dehydrogenase [EC:1.1.99.1]
cds1027	3.83890470838432	3.91975182440844	0.515120078095505	nonDEG	OG0000024	K03566	gcvA; LysR family transcriptional regulator, glycine cleavage system transcriptional activator
cds1028	4.61423825301379	3.48334644159291	2.71789502933794	nonDEG	OG0003091		
cds1029	8.0793735272497	8.36761920365701	0.435179686806093	nonDEG	OG0005436		
cds103	5.13952501755176	7.46406432893124	-1.20958947884009	nonDEG	OG0000372	K09815	znuA; zinc transport system substrate-binding protein
cds1030	4.89125386555546	3.66054929818725	1.85255433877817	nonDEG	OG0000395	K03718	asnC; Lrp/AsnC family transcriptional regulator, regulator for asnA, asnC and gidA
cds1031	11.0042136871624	9.77335540281541	1.80549442122397	up			
cds1032	5.59228502987683	5.52789463621395	0.967782863845645	nonDEG			
cds1033	4.32964899362079	4.34645446413935	-0.0738890482771093	nonDEG			
cds1034	4.4370638390939	4.44424077836955	0.609568252659361	nonDEG			
cds1035	4.25925310573354	3.36796788153759	1.65937558182545	nonDEG	OG0000013	K02529	lacI; LacI family transcriptional regulator
cds1036	5.91309505646199	6.22338266646378	0.282757233672897	nonDEG	OG0000132	K00090	ghrB; glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]
cds1037	5.16419670921578	5.26978774792605	0.492575467019117	nonDEG	OG0002714		
cds1038	6.30876122806241	5.68018052787178	1.48731719211848	nonDEG	OG0000058	K00874	kdgK; 2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]
cds1039	8.0023666470281	7.104655375951	1.42534688768013	up	OG0003032		
cds1041	4.93071680316874	3.95293038225874	1.7148876701442	nonDEG	OG0001236		
cds1042	6.77877223153794	3.863110157261	3.5822435063208	up	OG0006703	K00799	GST; glutathione S-transferase [EC:2.5.1.18]
cds1043	7.58317252898391	5.39888692851087	2.75649554809373	up	OG0000227	K06221	dkgA; 2,5-diketo-D-gluconate reductase A [EC:1.1.1.346]
cds1044	5.30681020642347	5.86778364736598	-0.252944376793219	nonDEG	OG0000779	K03281	TC.CIC; chloride channel protein, CIC family
cds1045	7.50492101533711	5.11138810309418	2.98334828027792	up			
cds1046	6.43271799805965	4.05809765750139	2.93499379300285	up			
cds1047	6.35025927053568	6.59913020070403	0.342270506665621	nonDEG	OG0000069	K16137	nemR; TetR/AcrR family transcriptional regulator, transcriptional repressor for nem operon
cds1048	4.67184595643669	6.42330325585442	-1.53400311283763	nonDEG	OG0000177	K18302	mexJ; membrane fusion protein, multidrug efflux system
cds1049	5.02959969864841	6.58781044769904	-0.919528763317761	nonDEG	OG0000459	K18303	mexK; multidrug efflux pump
cds105	7.39588399602683	7.47747944475652	0.457913777356939	nonDEG	OG0000001	K00059	fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
cds1050	0.988684849313779	4.4865650637888	-3.52597919387213	nonDEG	OG0000059	K18139	oprM; outer membrane protein, multidrug efflux system
cds1051	4.18932231088127	6.30369918087098	-1.16641149785826	nonDEG			
cds1052	6.64882618529918	7.13901628615687	0.141094984032582	nonDEG	OG0000002	K21023	mucR; diguanylate cyclase [EC:2.7.7.65]
cds1053	5.87495066539515	5.69379941296753	0.808626180705694	nonDEG	OG0002977	K13491	wspF; two-component system, chemotaxis family, response regulator WspF [EC:3.1.1.61]
cds1054	6.11666075588266	6.65016366030435	0.0963910200378731	nonDEG	OG0002976	K13490	wspE; two-component system, chemotaxis family, sensor histidine kinase and response regulator WspE
cds1055	1.55663879955164	4.46770388766668	-3.73335932724876	down	OG0002975	K13489	wspD; chemotaxis-related protein WspD
cds1056	4.24082562723314	6.15834228170747	-0.664660122554177	nonDEG	OG0002974	K13486	wspC; chemotaxis protein methyltransferase WspC
cds1058	7.54395828932518	8.17010708814546	-0.0174496712933431	nonDEG	OG0002972	K13487	wspA; methyl-accepting chemotaxis protein WspA
cds1059	6.22016476338963	6.258820527046	0.575943541301473	nonDEG	OG0000565	K07154	hipA; serine/threonine-protein kinase HipA [EC:2.7.11.1]
cds106	10.6118448014354	8.77180074878371	2.20812023432241	up	OG0000143	K02027	ABC.MS.S; multiple sugar transport system substrate-binding protein
cds1060	3.73810999267637	2.9519855886964	1.96093355280641	nonDEG	OG0003956		
cds1061	9.229512666588	3.5835027916133	6.71866044224224	up	OG0002032	K07290	yhjG; AsmA family protein
cds1062	5.48770030872961	5.67094053498852	0.3564369241702	nonDEG	OG0004227	K02068	ABC.X2.A; putative ABC transport system ATP-binding protein
cds1063	3.90212316157634	2.98520766798189	2.24508943840027	nonDEG	OG0003754	K02069	ABC.X2.P; putative ABC transport system permease protein
cds1064	6.88790264400082	6.98378418286506	0.565385477595574	nonDEG	OG0001124	K13924	cheBR; two-component system, chemotaxis family, CheB/CheR fusion protein [EC:2.1.1.80 3.1.1.61]
cds1065	6.88040530489148	7.43123244118651	0.158281811384444	nonDEG	OG0000622		
cds1066	8.57301717010269	9.01348702461106	0.182316819846424	nonDEG	OG0000382		
cds1067	8.73190034478484	8.56071823358537	0.818583086497972	nonDEG	OG0001454	K07215	pigA; heme oxygenase (biliverdin-IX-beta and delta-forming) [EC:1.14.99.58]
cds1069	8.43222141324717	4.06660935487043	4.82709513473674	up	OG0000493	K01971	ligD; bifunctional non-homologous end joining protein LigD [EC:6.5.1.1]
cds107	6.12956696150087	3.49413842262216	2.64709940937331	up	OG0003859	K10228	smoF; sorbitol/mannitol transport system permease protein
cds1070	8.32991721514176	3.11294963614008	6.29399163194678	up	OG0001014	K10979	ku; DNA end-binding protein Ku
cds1071	10.1989552056616	7.5560911588582	3.27247192625663	up			
cds1072	7.21768802823114	7.27645880590071	0.730633567785139	nonDEG	OG0000936		
cds1073	4.59573988214989	4.23559601777706	0.940389130574335	nonDEG	OG0004653	K09803	uncharacterized protein
cds1074	6.32597426575302	2.70130121487092	3.23085017751908	nonDEG	OG0004658		
cds1075	7.3293380333178	5.9147161936117	1.99861849761082	up	OG0000815		
cds1076	5.37016472234819	6.38002575238875	-0.336918194939276	nonDEG	OG0001576	K01079	serB; phosphoserine phosphatase [EC:3.1.3.3]
cds1077	5.75193553800175	7.5353505738901	-1.17386989677203	down	OG0000070	K01758	CTH; cystathionine gamma-lyase [EC:4.4.1.1]
cds1078	4.69626636531508	5.10445233674724	0.156260856175225	nonDEG			
