	L130_Col	L130_TSB	L130_FC	DEG	OG	KO.id	KO.description
cds0	12.5682199109978	16.0156515805532	-2.5578249749572	down	OG0000679	K02358	tuf; elongation factor Tu
cds1	4.56263661279553	1.49313384164388	3.43366153552766	up	OG0002369	K07044	uncharacterized protein
cds10	6.26394121718941	6.24453004915491	0.872809455860745	nonDEG	OG0003005		
cds1000	5.35540680105716	2.37825111784807	3.87530190423015	up	OG0000015	K02031	ABC.PE.A; peptide/nickel transport system ATP-binding protein
cds1001	4.3095446941651	2.6514839355413	3.52935855726254	up	OG0000155		
cds1002	5.22303615414621	2.40928758597856	3.58362326349417	up	OG0002376		
cds1003	2.85979512720281	0.278515111718973	4.3384330084938	up	OG0000021	K06147	ABCB-BAC; ATP-binding cassette, subfamily B, bacterial
cds1004	4.79734486777851	1.82163398507884	3.40836429430825	up	OG0000021	K06147	ABCB-BAC; ATP-binding cassette, subfamily B, bacterial
cds1005	4.7879746686002	2.10518361464854	3.95880731075776	up	OG0000332	K02014	TC.FEV.OM; iron complex outermembrane recepter protein
cds1007	4.73538935267474	1.43600054380015	4.68727899690926	up	OG0000124	K04091	ssuD; alkanesulfonate monooxygenase [EC:1.14.14.5]
cds1008	5.0090659723263	0.540287724873074	5.65266699283211	up	OG0000007	K02667	pilR; two-component system, NtrC family, response regulator PilR
cds1009	2.79994986629627	3.32561782400094	2.34990547499408	nonDEG	OG0000612	K03118	tatC; sec-independent protein translocase protein TatC
cds101	3.67117432669394	1.27851511171897	2.77348099745126	nonDEG	OG0000008	K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]
cds1010	4.1447798059902	-0.374821894140154	5.8681571265901	nonDEG	OG0000131	K03116	tatA; sec-independent protein translocase protein TatA
cds1011	4.02413888971179	1.19014611536969	3.99326694261821	up	OG0000131	K03116	tatA; sec-independent protein translocase protein TatA
cds1016	4.07617862368422	2.19236293805251	4.84016062264489	up	OG0000124	K04091	ssuD; alkanesulfonate monooxygenase [EC:1.14.14.5]
cds1017	4.76736415934091	1.66186048101929	6.02384237215563	up	OG0000250	K03832	tonB; periplasmic protein TonB
cds1018	5.36686054948824	1.66186048101929	6.352381324401	up	OG0000224	K03562	tolQ; biopolymer transport protein TolQ
cds102	2.56386496173148	2.35999899707762	2.58930079012109	nonDEG	OG0006538	K01652	E2.2.1.6L; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]
cds1020	5.52468359541921	1.93760841955228	4.22790494854915	up	OG0000018	K02035	ABC.PE.S; peptide/nickel transport system substrate-binding protein
cds1022	4.70777566302885	1.38623270702469	5.12956377793873	up	OG0000528	K02014	TC.FEV.OM; iron complex outermembrane recepter protein
cds1024	4.48023346657149	3.93377653993967	1.90229083445278	nonDEG	OG0002208		
cds1025	5.35771751677499	5.05919508971079	1.20940282425859	nonDEG			
cds1027	5.34646567048982	2.09832565126474	3.9775236932405	up	OG0004065	K06076	fadL; long-chain fatty acid transport protein
cds1028	4.44724166901404	0.605183614648536	3.20245077982667	nonDEG			
cds1029	2.67960566674857	1.43600054380015	3.08316151994442	nonDEG	OG0000064	K09471	puuB; gamma-glutamylputrescine oxidase [EC:1.4.3.-]
cds103	4.1904618142084	1.80683594529269	2.73122178741494	nonDEG	OG0004547		
cds1030	4.14882746245264	4.08587003377658	0.984831338663418	nonDEG	OG0000069	K16137	nemR; TetR/AcrR family transcriptional regulator, transcriptional repressor for nem operon
cds1031	4.58048114488167	2.53896834956053	2.94325913534729	up	OG0001954		
cds1032	4.21558021647006	1.21430008573817	3.3559020231235	up	OG0001509	K06889	uncharacterized protein
cds1033	6.15342056070032	3.77496385862534	3.34191065574181	up	OG0000226	K03701	uvrA; excinuclease ABC subunit A
cds1034	3.59474805772004	1.21430008573817	2.82541644939028	nonDEG	OG0004054	K15773	hipB; HTH-type transcriptional regulator / antitoxin HipB
cds1035	6.54847668043696	6.64066506233552	0.758434490537722	nonDEG	OG0005232	K07154	hipA; serine/threonine-protein kinase HipA [EC:2.7.11.1]
cds1036	3.78174403192059	3.00307415715345	1.59766017087399	nonDEG	OG0000176		
cds1037	4.63895870387304	1.71227105531454	3.75919614531427	up			
cds1038	4.58143076942804	2.79926258645933	2.4488310973185	up	OG0000172	K02342	dnaQ; DNA polymerase III subunit epsilon [EC:2.7.7.7]
cds1039	3.78832736267318	2.54763341907151	2.09712528615001	nonDEG	OG0002326		
cds104	5.41156854609762	5.15075070288061	1.14676168888645	nonDEG	OG0001166		
cds1040	5.88606777719013	8.75642783723249	-2.05219779933599	down	OG0003681		
cds1044	2.57572089114701	3.55693541792814	-0.109727581701646	nonDEG			
cds1045	1.74893668084052	3.76362418515383	-0.316925935997931	nonDEG	OG0005297		
cds1046	6.74015419017233	6.0911018445563	1.48983220913673	up	OG0000016	K07729	putative transcriptional regulator
cds1049	4.08972595185	3.56243145885766	1.9013817894213	nonDEG	OG0002100		
cds105	5.27081368833026	4.69889510423689	1.31218726355065	nonDEG	OG0000243	K01462	PDF; peptide deformylase [EC:3.5.1.88]
cds1051	3.50455407653459	1.69014611536969	2.37249518321819	nonDEG	OG0002764	K12543	lapE; outer membrane protein, adhesin transport system
cds1052	4.0672175256339	2.30766939213575	2.22046547316119	nonDEG	OG0002845		
cds1054	4.2392967181852	-0.374821894140154	7.04004309299658	up	OG0000038	K03446	emrB; MFS transporter, DHA2 family, multidrug resistance protein
cds1056	4.2502119268391	3.33515677886641	1.35755303404261	nonDEG	OG0000087	K02433	gatA; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7]
cds1057	4.39339094983042	2.84532835109934	2.03902922732912	nonDEG	OG0000009	K07687	rcsB; two-component system, NarL family, captular synthesis response regulator RcsB
cds1059	4.85281074376084	4.04491778451473	1.48948662985973	nonDEG			
cds106	6.34722069776811	7.07539764594359	0.0673489789271453	nonDEG	OG0002366	K01425	glsA; glutaminase [EC:3.5.1.2]
cds1061	3.31574992022088	3.81026760553532	1.1824830084377	nonDEG	OG0005220	K00297	metF; methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]
cds1062	5.22836069954879	3.77705018878257	2.22380423310588	up	OG0000608	K03207	wcaH; colanic acid biosynthesis protein WcaH [EC:3.6.1.-]
cds1063	5.99917751150348	5.6696594962004	1.13133146596102	nonDEG	OG0004559	K03462	NAMPT; nicotinamide phosphoribosyltransferase [EC:2.4.2.12]
cds1064	3.7545394434027	5.67465505114286	-0.879983418597075	nonDEG	OG0000599	K00948	PRPS; ribose-phosphate pyrophosphokinase [EC:2.7.6.1]
