	L404_Col	L404_TSB	L404_FC	DEG	OG	KO.id	KO.description
cds0	6.33838710878779	6.80135361135435	-0.243068976763077	nonDEG	OG0004111		
cds1	7.57096164802079	7.38482493890057	0.479325801365541	nonDEG	OG0000340	K02437	gcvH; glycine cleavage system H protein
cds10	4.99368937589832	5.75896659597258	-0.563257076270486	nonDEG	NA	NA	NA
cds100	5.56338897614274	1.72208445344664	3.76180411986788	up	OG0002573		
cds1000	4.90214858252865	7.71304687328444	-2.29266197433113	down	OG0000711	K01866	YARS; tyrosyl-tRNA synthetase [EC:6.1.1.1]
cds1001	3.75225842603437	3.31059603556763	0.367372483654316	nonDEG			
cds1002	3.58668964721946	4.9041253730659	-1.01974968420774	nonDEG	OG0000346	K06999	phospholipase/carboxylesterase
cds1003	7.68233115753936	5.71576180623365	2.16155649204713	up	OG0004666		
cds1004	6.12545646963751	3.69702195464857	2.44026697503242	up			
cds1005	7.86328174528573	6.59536549335574	1.39164104327786	up	OG0004583		
cds1007	3.90282258172372	0.614775088484185	3.55433043795719	up			
cds101	7.21649004308273	7.64616213724971	-0.213384637743165	nonDEG	OG0005586		
cds1011	3.81916872387931	3.89869143562287	0.126172594405137	nonDEG	OG0001154		
cds1013	4.46116853006472	3.25040528702036	1.69015450415724	nonDEG			
cds1015	3.08597075649094	2.40081596435767	0.965826140091354	nonDEG			
cds1016	10.0456700243442	7.08636573302594	3.17273191712185	up	OG0000737	K05808	yhbH; putative sigma-54 modulation protein
cds1017	10.5613490210736	7.84072775759509	2.92487152449155	up	OG0000148	K03733	xerC; integrase/recombinase XerC
cds1018	5.16069726997207	7.72263448325981	-2.4456074873322	down	OG0001243	K02970	RP-S21; small subunit ribosomal protein S21
cds1019	6.50257253919724	7.27644443452824	-0.659030325459829	nonDEG	OG0002109	K03733	xerC; integrase/recombinase XerC
cds102	10.3375241467868	9.27778085270684	1.23799232610426	up	OG0000118	K03695	clpB; ATP-dependent Clp protease ATP-binding subunit ClpB
cds1022	2.51588192746681	2.55907175987243	-0.256037316357275	nonDEG			
cds1024	4.85450646975335	3.15055185973405	1.6319274126622	up			
cds1025	5.3160967363259	4.15055185973405	1.35685068629111	nonDEG			
cds1026	5.13521324982611	1.99120276079917	2.78806226236999	up			
cds1027	4.22800490048221	4.67539211106722	-0.189758921714076	nonDEG			
cds1029	5.39271648683407	3.09159260570603	2.53290457332512	up			
cds103	5.81184974132639	5.9341529317774	0.200813390595566	nonDEG	OG0000069	K16137	nemR; TetR/AcrR family transcriptional regulator, transcriptional repressor for nem operon
cds1030	7.53292061008299	6.86354867895549	0.945623544825577	nonDEG	OG0005429		
cds1032	2.69716696715916	2.64392936890096	-0.561098299876412	nonDEG			
cds104	6.92812834215878	5.66025190626687	1.40974406791433	up	OG0002563		
cds1043	3.7685010260643	4.97496433245483	-0.719612023482589	nonDEG			
cds1044	5.12862549821897	4.14434663367827	0.986597050536376	nonDEG			
cds1046	2.87935947242659	4.56652769754858	-1.50814425429637	nonDEG	OG0000521	K04095	fic; cell filamentation protein
cds1047	6.97107460404234	4.96653590031791	2.14678994866952	up			
cds1048	7.04679848175626	4.19973758920534	3.08629425227058	up	OG0002335		
cds1049	5.10632177933315	3.51085852486191	1.87990243714088	up	OG0002309		
cds105	3.78220345603428	3.20856165965907	-0.891733866678302	nonDEG	OG0000003	K07657	phoB; two-component system, OmpR family, phosphate regulon response regulator PhoB
cds1050	7.66765111777201	4.32087249949318	3.55111649533038	up	OG0002335		
cds1051	5.15250205721265	3.33051006346493	1.95339443037574	up	OG0005622		
cds1052	7.84167933616535	5.79715359909447	2.22055902911304	up	OG0000085	K01533	copB; Cu2+-exporting ATPase [EC:3.6.3.4]
cds1053	7.69568164622779	6.82394473791581	1.03735893637486	up	OG0000429	K14588	cueO; blue copper oxidase
cds1055	3.6871924984356	4.85499901742604	-1.13869600206548	nonDEG	OG0007101	K03088	rpoE; RNA polymerase sigma-70 factor, ECF subfamily
cds1056	3.48858278295472	3.01466587009631	-0.203205565936687	nonDEG	OG0005648		
cds1057	7.75549011551907	7.01980580128412	0.927523158607151	nonDEG	OG0000085	K01533	copB; Cu2+-exporting ATPase [EC:3.6.3.4]
cds1058	5.65361830226848	5.86208873011023	0.0740119528921707	nonDEG	OG0000598	K15727	czcB; membrane fusion protein, cobalt-zinc-cadmium efflux system
cds1059	6.53341714946316	6.64767521373649	-1.16843644488289e-06	nonDEG	OG0000396	K15726	czcA; cobalt-zinc-cadmium resistance protein CzcA
cds106	3.48583539054598	3.27386839631749	0.49435814606286	nonDEG	OG0000010	K07636	phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]
cds1060	4.63518178311104	3.61052975917503	0.721584774426711	nonDEG	OG0003721		
cds1067	4.93835272541867	3.01466587009631	1.81659714370261	up			
cds1068	4.33859126856456	3.11205945392741	1.23306900852484	nonDEG	OG0002109	K03733	xerC; integrase/recombinase XerC
cds1069	7.25054941335478	7.17902565560689	0.278436660132863	nonDEG	OG0002334	K19789	radD; DNA repair protein RadD
cds107	13.4992184646433	9.69079113823176	4.054398127284	up	OG0002575		
cds1070	7.92688179880992	9.59326581363932	-1.40113683598355	down	OG0000688	K02078	acpP; acyl carrier protein
cds1071	8.24468958279168	9.6138850864567	-1.19000078243786	down	OG0000203	K09458	fabF; 3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]
cds1072	4.7576938668335	7.68252449470644	-2.9550000550979	down	OG0001059	K03685	rnc; ribonuclease III [EC:3.1.26.3]
cds1073	4.9831197559892	7.24077009969907	-2.26843850458758	down			
cds1074	6.92812834215878	8.82770423139524	-1.55666526038147	down	OG0000471	K00873	PK; pyruvate kinase [EC:2.7.1.40]
cds1075	3.18951249467556	2.5418949929924	1.04911055869993	nonDEG	OG0000329		
cds1076	10.164650064202	10.33402903094	0.0137035489467242	nonDEG	OG0000329		
cds1077	8.30361027617471	8.69690018400896	-0.135982121863241	nonDEG	OG0000329		
cds1078	9.77817565342701	8.7948418460579	1.17147751278096	up	OG0000329		
cds1079	8.31095771374787	6.68666049755487	1.94224402987166	up	OG0002573		
cds108	8.28972865577921	7.11285715834981	1.35500330437673	up	OG0000001	K00059	fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
cds1080	10.2812800854955	8.22949923887636	2.23400671903809	up			
cds1081	5.36760144519552	7.70652863465192	-2.26489112103694	down	OG0001022	K03439	trmB; tRNA (guanine-N7-)-methyltransferase [EC:2.1.1.33]
cds1082	1.98502299058239	4.76307024634516	-4.05405441452322	down			
cds1083	9.11065373355551	5.88582671700671	3.4167680619456	up	OG0002856		
cds1084	6.79005201217838	4.81315539006475	2.23108272508582	up	OG0002566		
cds1085	4.13203520899127	3.83447640964207	0.803254726636918	nonDEG			
cds1086	6.43139592165502	3.09851212576163	3.29021656895825	up	OG0006978		
cds1087	5.29904310306502	8.58558144482297	-2.83257634847843	down	OG0000867	K02967	RP-S2; small subunit ribosomal protein S2
