	L187_Col	L187_TSB	L187_FC	DEG	OG	KO.id	KO.description
cds1	4.6772852752328	6.06227072973938	-3.8835299980238	nonDEG	OG0000085	K01533	copB; Cu2+-exporting ATPase [EC:3.6.3.4]
cds1004	4.86801536100664	4.75728429783729	0.160042957008914	nonDEG	OG0003603		
cds1006	5.97596305669194	6.22896346426358	0.488751621621448	nonDEG			
cds1007	7.08626868273015	7.98439723852644	-0.491250675265649	nonDEG	OG0000029	K16235	mmuP; S-methylmethionine transporter
cds1008	5.6772852752328	5.70661660002228	-2.2693294236424	nonDEG			
cds1009	5.80729267024983	6.81069572235665	-0.260904503006852	nonDEG	OG0000056	K19302	bcrC; undecaprenyl-diphosphatase [EC:3.6.1.27]
cds101	4.4015724589359	4.48816599048476	0.903892309111771	nonDEG	OG0000631	K02238	comEC; competence protein ComEC
cds1010	7.06580792931297	3.50565513044947	3.0711311987281	nonDEG	OG0003072	K07084	yuiF; putative amino acid transporter
cds1011	5.17185664961726	8.04233933516468	-2.04092210366261	nonDEG	OG0000279	K01673	cynT; carbonic anhydrase [EC:4.2.1.1]
cds1013	11.3786751570111	11.0345806931322	0.666810439869094	nonDEG	OG0000169	K00043	gbd; 4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]
cds1014	7.60756897779459	7.42263420701055	0.650565239787674	nonDEG			
cds1015	8.66407592065288	11.6805428668071	-2.4504137006577	down	OG0000566	K01119	cpdB; 2',3'-cyclic-nucleotide 2'-phosphodiesterase / 3'-nucleotidase [EC:3.1.4.16 3.1.3.6]
cds1017	5.17199066552197	3.69604069751485	0.436288692206166	nonDEG	OG0000501	K00077	panE; 2-dehydropantoate 2-reductase [EC:1.1.1.169]
cds1019	5.6772852752328	4.19578490641327	-0.664596901359054	nonDEG	OG0001896		
cds1023	8.08626868273015	7.19332506295807	1.34724777430262	nonDEG	OG0000319	K06131	clsA_B; cardiolipin synthase A/B [EC:2.7.8.-]
cds1024	9.01948657762709	8.15513781804862	1.30861097880365	nonDEG	OG0001866	K15922	yihQ; sulfoquinovosidase [EC:3.2.1.199]
cds1025	6.39697452530321	5.6818530114977	1.07059220344203	nonDEG			
cds1026	7.08924639098682	6.73946521045177	0.771403013478116	nonDEG			
cds1027	7.5277469995628	7.75052809866863	0.373623610441209	nonDEG	OG0004450		
cds1029	5.54523613952751	3.18586912528192	2.32832814491463	nonDEG			
cds1032	2.75668513443369	4.10118725107974	-2.08127391208099	nonDEG			
cds1033	6.06253650637959	4.08292309346628	1.7294786961458	nonDEG			
cds1036	8.74439698212526	6.9993480053613	1.92742170933303	up	OG0001044	K10716	kch; voltage-gated potassium channel
